    name	split	examples	input_len (mean)	output_len (mean)	input_len (uof)	output_len (uof)
0	dtaeval	train	200524	33.682143	34.116061	141.0	145.0
1	ridges	train	2921	30.264635	27.361520	125.0	108.0
2	deu_news_2020	train	800000	29.799740	28.026419	92.0	83.0
3	dtak-1600-1699	train	754435	41.986521	39.783890	194.0	185.0
4	dtak-1700-1799	train	1714657	38.804280	37.652118	165.0	161.0
5	dtak-1800-1899	train	2174712	39.749745	39.734626	168.0	168.0
6	dtaeval	validation	18278	31.566090	32.407649	126.0	130.0
7	ridges	validation	671	30.385991	27.424739	121.0	112.0
8	deu_news_2020	validation	100000	29.813560	28.043310	92.0	87.0
9	dtak-1600-1699	validation	157748	39.111108	37.020190	172.0	163.0
10	dtak-1700-1799	validation	216377	38.562098	37.443573	166.0	158.0
11	dtak-1800-1899	validation	301339	38.674271	38.671904	160.0	160.0
12	dtaeval	test	21916	26.693877	26.592353	111.0	111.0
13	ridges	test	671	30.052161	27.265276	128.0	115.0
14	deu_news_2020	test	100000	29.822380	28.036140	92.0	83.0
15	dtak-1600-1699	test	97560	44.352645	41.903946	205.0	193.0
16	dtak-1700-1799	test	203844	37.519804	36.419757	161.0	157.0
17	dtak-1800-1899	test	293708	37.039420	36.989898	155.0	155.0